property_id,name,address,postal_code,lat,lon
ABQHOLD,Albuquerque Hold Room,1720 RANDOLPH ROAD ALBUQUERQUE NM 87106,87106,35.052654,-106.629299
ABRXSPA,Abraxas Academy Detention Center,1000 ACADEMY DRIVE MORGANTOWN PA 19543,19543,40.19177,-75.91592
ADDCOVT,Addison County Jail,35 COURT STREET MIDDLEBURY VT 05753,05753,44.011519,-73.163545
ADLNTCA,Adelanto Ice Processing Center,10250 RANCHO ROAD ADELANTO CA 92301,92301,34.557729,-117.441865
AFRC,Artesia Family Residential Center,1300 W. RICHEY AVENUE ARTESIA NM 88210,88210,32.857148,-104.415332
AGC,Aguadilla,"Maleza Baja, Aguadilla, Puerto Rico, Aguadilla 00604 Puerto Rico AGUADILLA PR 00603",00603,18.49428,-67.14213
AKFAIRB,Fairbanks Correctional Center,1931 EAGAN STREET FAIRBANKS AK 99701,99701,64.834574,-147.760793
AKHIGHL,Hiland Mountain Correctional Center,9101 HESTERBERG ROAD EAGLE RIVER AK 99577,99577,61.303929,-149.580175
AKLEMON,Lemon Creek,2000 LEMON CREEK ROAD JUNEAU AK 99801,99801,58.361196,-134.487648
AKMATSU,Mat-su Pretrial,339 E. DOGWOOD PALMER AK 99645,99645,61.601371,-149.118654
ALAMCNC,Alamance County Detention Facility,109 SOUTH MAPLE STREET GRAHAM NC 27253,27253,36.068555,-79.402463
ALBHOLD,Albany Hold Room,1086 TROY-SCHENECTADY RD LATHAM NY 12110,12110,42.753381,-73.769379
ALEXAVA,Alexandria City Jail,2003 MILL ROAD ALEXANDRIA VA 22314,22314,38.798612,-77.067312
ALLEGNY,Allegany County Jail,4884 STATE ROUTE 19 BELMONT NY 14813,14813,42.21245,-78.01715
ALMHOLD,Alamosa Holdroom,1921 STATE STREET ALAMOSA CO 81101,81101,37.487897,-105.859789
AMTHOLD,Amarillo Hold Room,8601 E. AMARILLO BLVD AMARILLO TX 79801,79801,35.222536,-101.748848
ANCHOAK,Anchorage Correctional Complex,1400 E. 4TH AVE ANCHORAGE AK 99501,99501,61.21838,-149.857649
APPSCLA,Allen Parish Public Safety Complex,7340 HIGHWAY 26 WEST OBERLIN LA 70655,70655,30.620368,-92.756652
ATLANGA,Atlanta City Detention Center,254 PEACHTREE STREET SOUTHWEST ATLANTA GA 30303,30303,33.747313,-84.395391
ATLHOLD,Atlanta District Hold Room,"77 FORSYTH ST., SW. ATLANTA GA 30303",30303,33.753164,-84.393159
ATTHOLD,"Athens, Tx Hold Room",109 W CORSICANA STREET ATHENS TX 75751,75751,32.204448,-95.853981
AUSHOLD,Austin Dro Hold Room,300 EAST 8TH STREET AUSTIN TX 78701,78701,30.269638,-97.738978
AZSPPER,Perryville State Prison,2105 NORTH CITRUS RD GOODYEAR AZ 85395,85395,33.463292,-112.444222
BAKERFL,Baker County Sheriff's Office,1 SHERIFF OFFICE DRIVE MACCLENNY FL 32063,32063,30.29596,-82.12172
BALDWAL,Baldwin County Correctional Center,200 HAND AVE. BAY MINETTE AL 36507,36507,30.88454,-87.774769
BALHOLD,Baltimore Dd&p,1530 CATON CENTER DRIVE BALTIMORE MD 21227,21227,39.255423,-76.680689
BASILLA,South Louisiana Detention Center,3843 STAGG AVENUE BASILE LA 70515,70515,30.486577,-92.583366
BEDCITX,Bedford Municipal Detention Center,2121 L DON DODSON DRIVE BEDFORD TX 76021,76021,32.84109,-97.133092
BELCOTX,Bell County Jail,111 W. CENTRAL BELTON TX 76513,76513,31.046307,-97.488054
BERNANM,Bernalillo County Detention Center,415 ROMA N.W. ALBUQUERQUE NM 87102,87102,35.089343,-106.651437
BHMHOLD,Birmingham Hold Room,"1833 29th Ave S, Birmingham, AL 35209 HOMEWOOD AL 35209",35209,33.479539,-86.79116
BILHOLD,Billings Hold Room,2900 4TH AVE NORTH BILLINGS MT 59101,59101,45.783884,-108.509563
BKLHOLD,Bakerfield Hold,800 TRUXTUN BAKERSFIELD CA 93301,93301,35.37372,-119.01121
