property_id,name,address,postal_code,lat,lon
FIFA_NY,MetLife Stadium (New York/New Jersey),1 MetLife Stadium Dr East Rutherford NJ,07073,40.8135,-74.0745
FIFA_PHI,Lincoln Financial Field (Philadelphia),1 Lincoln Financial Field Way Philadelphia PA,19148,39.9007,-75.1675
FIFA_BOS,Gillette Stadium (Boston),1 Patriot Pl Foxborough MA,02035,42.0909,-71.2643
FIFA_MIA,Hard Rock Stadium (Miami),347 Don Shula Dr Miami Gardens FL,33056,25.9580,-80.2389
FIFA_HOU,NRG Stadium (Houston),1 NRG Park Houston TX,77054,29.6847,-95.4107
FIFA_DAL,AT&T Stadium (Dallas),1 AT&T Way Arlington TX,76011,32.7480,-97.0928
FIFA_KC,Arrowhead Stadium (Kansas City),1 Arrowhead Dr Kansas City MO,64129,39.0489,-94.4839
FIFA_SEA,Lumen Field (Seattle),800 Occidental Ave S Seattle WA,98134,47.5952,-122.3316
FIFA_SF,Levi's Stadium (San Francisco),4900 Marie P DeBartolo Way Santa Clara CA,95054,37.4032,-121.9698
FIFA_LA1,SoFi Stadium (Los Angeles),1000 S Prairie Ave Inglewood CA,90301,33.9535,-118.3392
FIFA_LA2,Rose Bowl (Los Angeles),1001 Rose Bowl Dr Pasadena CA,91103,34.1614,-118.1676
FIFA_VAN,BC Place (Vancouver),777 Pacific Blvd Vancouver BC,V6B4Y8,49.2767,-123.1117
FIFA_TOR,BMO Field (Toronto),170 Princes Blvd Toronto ON,M6K3C3,43.6333,-79.4187
FIFA_MEX,Estadio Azteca (Mexico City),Calzada de Tlalpan 3465 Mexico City,04670,19.3029,-99.1505
FIFA_MTY,Estadio BBVA (Monterrey),Av Fundidora Monterrey NL,64010,25.6696,-100.4068
FIFA_GDL,Estadio Akron (Guadalajara),Camino a Tesistan Zapopan JAL,45132,20.6899,-103.4673
