property_id,name,address,postal_code,lat,lon
ABQUP,ABQ Uptown,2200 Louisiana Boulevard Northeast Albuquerque NM 87110,87110,35.07893,-106.56826
ALBPO,Albertville Premium Outlets,6415 Labeaux Avenue Northeast Albertville MN 55301,55301,45.24665,-93.66925
ALLENPO,Allen Premium Outlets,820 West Stacy Road Allen TX 75013,75013,33.1327,-96.66075
ANC5Ave,Anchorage 5th Avenue Mall,320 West 5th Avenue Anchorage AK 99501,99501,61.21696,-149.88826
APPLEBLOS,Apple Blossom Mall,1850 Apple Blossom Drive Winchester VA 22601,22601,39.16014,-78.16336
ARZMILLS,Arizona Mill,5000 South Arizona Mills Circle Tempe AZ 85282,85282,33.38327,-111.96453
ARUNMILLS,Arundel Mills,7000 Arundel Mills Circle Hanover MD 21076,21076,39.15722,-76.72491
AUBURNM,Auburn Mall,"385 Southbridge Street Auburn, MA 01501",1501,42.20208,-71.83519
AURORAFARMS,Aurora Farms Premium Outlets,549 Sotuh Chillicothe Road Aurora OH 44202,44202,41.30171,-81.34315
BARTONCREEK,Barton Creek Square,2901 Capital of Texas Highway Austin TX 78746,78746,30.25737,-97.80718
BATTLEFIELD,Battlefield Mall,2825 South Glenstone Avenue Springfield MO 65804,65804,37.16282,-93.26571
BAYPARK,Bay Park Square,303 Bay Park Square Green Bay WI 54304,54304,44.48381,-88.06604
BEVCENTER,Beverly Center,"8500 Beverly Boulevard, Los Angeles CA 90048",90048,34.07533,-118.37738
BIRCHRUN,Birch Run Premium Outlets,12240 South Beyer Road Birch Run MI 48415,48415,43.24632,-83.77517
BREA,Brea Mall,1065 Brea Mall Brea CA 92821,92821,33.91557,-117.88629
BRIARWOOD,Briarwood Mall,100 Briarwood Circle Ann Arbor MI 48108,48108,42.2403,-83.74688
BRICKELL,Brickell City Centre,"701 S Miami Ave, Miami FL 33130 USA",33130,25.7677508,-80.1930238
BROADWAY,Broadway Square,4601 South Broadway Tyler TX 75703,75703,32.2991781,-95.3027361
BURLINGTON,Burlington Mall,75 Middlesex Turnpike Burlington MA 01803,1803,42.482391,-71.2136759
CALHOUN,Calhoun Outlet Marketplace,455 Belwood Road Calhoun GA 30701,30701,34.4619896,-84.9185353
CAMARILLO,Camarillo Premium Outlets,740 East Ventura Boulevard Camarillo CA 93010,93010,34.2174406,-119.0607103
CAPECOD,Cape Cod Mall,769 Iyannough Road Hyannis MA 02601,2601,41.6673484,-70.2966157
CARLSBAD,Carlsbad Premium Outlets,5620 Paseo del Norte Carlsbad CA 92008,92008,33.1229539,-117.3175914
CAROLINA,Carolina Premium Outlets,1025 Industrial Park Drive Smithfield NC 27577,27577,35.5102043,-78.316119
CASTLETON,Castleton Square,6020 East 82nd Street Indianapolis IN 46250,46250,39.9092273,-86.065379
CHARLOTTE,Charlotte Premium Outlets,5404 New Fashion Way Charlotte NC 28278,28278,35.1683344,-80.969752
CHERRYCREEK,Cherry Creek Shopping Center,"3000 East 1st Avenue, Denver CO 80206",80206,39.7168661,-104.9527576
CHICAGOPO,Chicago Premium Outlets,1650 Premium Outlet Boulevard Aurora IL 60502,60502,41.8005082,-88.2749343
CIELOVISTA,Cielo Vista Mall,8401 Gateway Boulevard West El Paso TX 79925,79925,31.7737267,-106.38104
CINCINNATI,Cincinnati Premium Outlets,400 Premium Outlets Drive Monroe OH 45050,45050,39.4337564,-84.3365389
CITYCREEK,City Creek Center,"50 South Main Street, Salt Lake City UT 84101",84101,40.768357,-111.8917453
CLARKSBURG,Clarksburg Premium Outlets,22705 Clarksburg Rd Clarksburg MD 20871,20871,39.2284351,-77.2872958
CLINTON,Clinton Premium Outlets,20-A Killingworth Turnpike Clinton CT 06413,6413,41.2895459,-72.5317866
COCONUT,Coconut Point,23106 Fashion Drive Estero FL 33928,33928,26.4016488,-81.807491
COLLEGE,College Mall,2894 East Third Street Bloomington IN 47401,47401,39.1617753,-86.4944428
COLORADO,Colorado Mills,14500 West Colfax Avenue Lakewood CO 80401,80401,39.7317152,-105.1613776
COLUMBIACTR,Columbia Center,1321 North Columbia Center Boulevard Kennewick WA 99336,99336,46.2263903,-119.2276594
CONCORD,Concord Mills,8111 Concord Mills Blvd Concord NC 28027,28027,35.3699428,-80.7247667
COPLEY,Copley Place,2 Copley Place Boston MA 02116,2116,42.3476153,-71.077633
CORALSQR,Coral Square,9469 West Atlantic Boulevard Coral Springs FL 33071,33071,26.2410392,-80.2492081
CORDOVA,Cordova Mall,5100 North 9th Avenue Pensacola FL 32504,32504,30.4754844,-87.2080135
DADELAND,Dadeland Mall,7535 Dadeland Mall Miami FL 33156,33156,25.6905361,-80.312504
DELAMO,Del Amo Fashion Center,3525 Carson Street Torrance CA 90503,90503,33.8310336,-118.3497562
DENVERPO,Denver Premium Outlets,13801 Grant Street Thornton CO 80023,80023,39.9891746,-104.9828433
DESERTHILLS,Desert Hills Premium Outlets,48400 Seminole Drive Cabazon CA 92230,92230,33.9289379,-116.8118119
